iter,time,loss,loss_reg
0,22,22.001476,0.038355693
10,29,26.953808,0.038355697
20,29,27.62052,0.03835569
30,30,27.38117,0.038355697
40,30,24.97739,0.038355697
50,30,25.972534,0.038355697
60,30,26.48611,0.0383557
70,31,26.267258,0.0383557
80,31,27.065567,0.0383557
90,31,26.442219,0.0383557
100,31,26.52312,0.038355704
110,31,26.075724,0.038355704
120,31,26.640991,0.038355704
130,31,26.350855,0.038355704
140,31,25.234547,0.038355704
150,31,25.437214,0.038355704
160,31,26.40306,0.038355704
170,31,25.007828,0.038355704
180,31,25.84019,0.038355704
190,31,25.629192,0.038355704
200,31,26.17421,0.038355704
210,31,25.150867,0.038355704
220,31,25.137701,0.038355704
230,31,25.015886,0.038355708
240,31,26.312046,0.038355704
250,31,24.99519,0.038355704
260,31,27.612814,0.038355708
270,31,25.428968,0.038355708
280,31,25.827667,0.038355708
290,31,25.624979,0.03835571
300,31,25.016827,0.03835571
310,31,26.080425,0.03835571
320,31,26.679062,0.03835571
330,31,26.301758,0.03835571
340,31,26.257965,0.038355716
350,31,25.256062,0.038355716
360,31,26.748722,0.038355727
370,31,25.195776,0.03835573
380,31,25.505901,0.038355734
390,31,25.073488,0.038355738
400,31,25.047937,0.038355738
410,31,25.426563,0.03835574
420,31,25.981586,0.03835574
430,31,25.14768,0.038355757
440,31,25.909937,0.03835576
450,31,25.048473,0.038355764
460,31,24.459278,0.038355764
470,31,25.378267,0.038355768
480,31,24.851194,0.03835577
490,31,25.942541,0.038355783
500,31,24.205593,0.038355794
510,31,25.208683,0.038355794
520,31,25.981958,0.038355798
530,31,23.296177,0.038355805
540,31,24.537193,0.03835582
550,31,24.588223,0.038355824
560,31,25.115442,0.038355827
570,31,24.51279,0.03835584
580,31,25.123196,0.03835585
590,31,25.053083,0.038355857
600,31,24.292145,0.03835587
610,31,24.392677,0.03835588
620,31,24.538557,0.038355887
630,31,26.513224,0.038355894
640,31,25.15003,0.03835591
650,31,24.58077,0.038355917
660,31,25.577875,0.038355935
670,31,24.717777,0.038355947
680,31,24.300524,0.038355965
690,31,23.127485,0.038355973
700,31,24.344866,0.038355995
710,31,25.32791,0.038356006
720,31,23.651604,0.038356025
730,31,24.158117,0.038356036
740,31,23.591059,0.03835606
750,31,23.613522,0.03835607
760,31,25.20903,0.03835609
770,31,24.967833,0.038356114
780,31,24.705069,0.038356125
790,31,24.306086,0.038356148
800,31,24.534985,0.038356174
810,31,23.044634,0.0383562
820,31,23.252369,0.038356215
830,31,23.855873,0.03835624
840,31,23.888327,0.038356267
850,31,23.37887,0.038356293
860,31,23.882305,0.03835632
870,31,23.350758,0.03835635
880,31,24.123383,0.038356375
890,31,23.91991,0.0383564
900,31,23.545084,0.03835643
910,31,22.67004,0.038356464
920,31,24.082209,0.038356494
930,31,24.0031,0.038356528
940,31,23.880543,0.03835656
950,31,23.221245,0.038356595
960,31,23.159685,0.038356636
970,31,22.702702,0.03835667
980,31,22.032297,0.038356707
990,31,23.123972,0.038356744
1000,31,22.811487,0.038356785
1010,31,22.826532,0.038356822
1020,31,21.875456,0.038356863
1030,31,24.710726,0.038356908
1040,31,22.652937,0.03835694
1050,31,22.280947,0.038356982
1060,31,22.531794,0.03835703
1070,31,22.529196,0.03835707
1080,31,22.504509,0.03835712
1090,31,22.337587,0.03835717
1100,31,21.874313,0.038357213
1110,31,22.88204,0.038357265
1120,31,21.678413,0.03835731
1130,31,21.372059,0.03835736
1140,31,21.680233,0.038357414
1150,31,21.053537,0.038357455
1160,31,21.040148,0.038357507
1170,31,21.792728,0.038357563
1180,31,20.875982,0.03835761
1190,31,20.841438,0.038357664
1200,31,20.356617,0.038357716
1210,31,21.543749,0.038357772
1220,31,22.150007,0.038357828
1230,31,21.417048,0.038357884
1240,31,21.81905,0.038357936
1250,31,21.803675,0.03835799
1260,31,21.722767,0.03835805
1270,31,20.651175,0.038358107
1280,31,21.45924,0.038358163
1290,31,20.954586,0.038358223
1300,31,19.673153,0.03835828
1310,31,19.396961,0.03835834
1320,31,20.712471,0.038358398
1330,31,21.276396,0.038358457
1340,31,20.520313,0.038358517
1350,31,19.804365,0.038358577
1360,31,20.047127,0.038358636
1370,31,19.746878,0.038358696
1380,31,20.835196,0.03835876
1390,31,19.869358,0.03835882
1400,31,19.464539,0.038358886
1410,31,18.92418,0.038358953
1420,31,19.489029,0.038359016
1430,31,18.52131,0.038359083
1440,31,18.464344,0.038359143
1450,31,19.391571,0.038359206
1460,31,18.78474,0.038359273
1470,31,19.386814,0.038359337
1480,31,19.60428,0.038359407
1490,31,19.644934,0.03835947
1500,31,19.446932,0.038359534
1510,31,18.556797,0.0383596
1520,31,18.154549,0.038359664
1530,31,19.62965,0.03835973
1540,31,18.588509,0.0383598
1550,31,19.548351,0.03835986
1560,31,18.657406,0.038359933
1570,31,19.439846,0.03836
1580,31,18.290043,0.038360063
1590,31,18.291004,0.038360126
1600,31,18.601469,0.03836019
1610,31,17.949383,0.038360257
1620,31,17.670874,0.03836033
1630,31,18.273188,0.038360395
1640,31,17.03123,0.038360454
1650,31,18.244217,0.038360525
1660,31,18.547438,0.038360596
1670,31,18.185326,0.038360663
1680,31,18.440945,0.03836073
1690,31,17.727396,0.038360804
1700,31,17.217728,0.03836087
1710,31,17.280018,0.038360935
1720,31,17.316395,0.038361
1730,31,17.351871,0.03836107
1740,31,16.78584,0.038361132
1750,31,16.920898,0.0383612
1760,31,17.167795,0.03836126
1770,31,17.648352,0.03836133
1780,31,18.079027,0.038361393
1790,31,17.661198,0.038361453
1800,31,16.544605,0.03836152
1810,31,17.253944,0.03836158
1820,31,16.498375,0.038361643
1830,31,16.376644,0.038361706
1840,31,17.937645,0.038361765
1850,31,16.638481,0.038361825
1860,31,17.423214,0.038361885
1870,31,16.426952,0.038361948
1880,31,16.826626,0.038362008
1890,31,15.430153,0.03836207
1900,31,16.580713,0.038362127
1910,31,16.495384,0.038362194
1920,31,17.132175,0.038362253
1930,31,15.638097,0.03836231
1940,31,17.63673,0.038362365
1950,31,15.489828,0.03836242
1960,31,15.645892,0.03836248
1970,31,17.409916,0.038362525
1980,31,15.6170025,0.038362585
1990,31,15.335634,0.038362637
2000,31,16.918535,0.038362682
2010,31,16.055698,0.03836274
2020,31,16.874218,0.03836279
2030,31,16.130741,0.038362842
2040,31,16.962494,0.038362898
2050,31,16.653545,0.038362943
2060,31,16.772907,0.03836299
2070,31,15.392046,0.038363036
2080,31,16.087482,0.038363084
2090,31,16.10834,0.038363136
2100,31,16.146408,0.038363177
2110,31,15.283812,0.038363215
2120,31,16.828844,0.038363263
2130,31,14.9873295,0.038363308
2140,31,14.825688,0.038363352
2150,31,16.326477,0.038363393
2160,31,16.530394,0.038363438
2170,31,16.008419,0.03836348
2180,31,15.654635,0.03836352
2190,31,15.413877,0.03836356
2200,31,14.530673,0.0383636
2210,31,15.401537,0.038363643
2220,31,15.026647,0.038363684
2230,31,15.567177,0.038363725
2240,31,15.180124,0.03836377
2250,31,15.603088,0.03836381
2260,31,15.443912,0.038363855
2270,31,14.753639,0.038363896
2280,31,15.721286,0.038363945
2290,31,14.85524,0.038363986
2300,31,15.652908,0.038364023
2310,31,15.227381,0.038364064
2320,31,14.5983,0.0383641
2330,31,14.94234,0.038364135
2340,31,15.678919,0.03836418
2350,31,15.886679,0.038364217
2360,31,15.650055,0.038364254
2370,31,15.454233,0.038364284
2380,31,15.365477,0.038364317
2390,31,15.686427,0.038364355
2400,31,14.9692,0.03836439
2410,31,14.749031,0.038364425
2420,31,14.580009,0.03836446
2430,31,15.371872,0.038364492
2440,31,14.980891,0.038364533
2450,31,14.443959,0.03836457
2460,31,14.475328,0.038364604
2470,31,14.611178,0.03836464
2480,31,13.794287,0.03836467
2490,31,15.231624,0.038364712
2500,31,14.915522,0.03836475
2510,31,15.365199,0.038364783
2520,31,15.589322,0.03836482
2530,31,15.570547,0.03836485
2540,31,16.07028,0.03836488
2550,31,15.067599,0.03836491
2560,31,14.429886,0.038364954
2570,31,14.487513,0.038364988
2580,31,14.04157,0.03836502
2590,31,13.858606,0.038365055
2600,31,14.512095,0.038365096
2610,31,14.716817,0.03836513
2620,31,14.6158905,0.03836517
2630,31,14.490537,0.038365204
2640,31,14.562961,0.038365234
2650,31,13.735873,0.038365267
2660,31,14.719109,0.038365297
2670,31,14.204944,0.038365334
2680,31,14.245062,0.03836536
2690,31,14.566495,0.0383654
2700,31,14.117322,0.038365435
2710,31,15.709142,0.038365465
2720,31,14.917488,0.038365502
2730,31,14.414136,0.03836553
2740,31,14.737511,0.03836556
2750,31,14.201965,0.038365595
2760,31,14.563556,0.038365625
2770,31,14.888072,0.038365655
2780,31,14.228757,0.038365684
2790,31,14.203024,0.038365714
2800,31,13.86265,0.038365748
2810,31,14.607066,0.038365778
2820,31,14.559248,0.03836581
2830,31,13.558769,0.03836585
2840,31,15.012152,0.038365886
2850,31,14.627179,0.038365915
2860,31,14.532476,0.03836595
2870,31,14.344011,0.03836598
2880,31,12.978849,0.03836601
2890,31,14.388789,0.038366042
2900,31,14.53705,0.038366072
2910,31,14.234749,0.0383661
2920,31,14.045034,0.038366128
2930,31,13.775968,0.038366158
2940,31,15.3178,0.03836618
2950,31,13.378708,0.0383662
2960,31,13.963053,0.038366225
2970,31,12.975431,0.03836625
2980,31,14.542523,0.03836628
2990,31,13.685521,0.038366307
3000,31,14.606422,0.038366325
3010,31,13.534105,0.038366344
3020,31,13.945953,0.03836637
3030,31,13.904755,0.0383664
3040,31,13.115389,0.038366426
3050,31,13.888025,0.038366444
3060,31,13.715506,0.038366474
3070,31,13.648913,0.038366497
3080,31,13.541199,0.038366534
3090,31,13.885983,0.038366556
3100,31,13.388901,0.038366586
3110,31,13.515063,0.038366616
3120,31,12.79674,0.038366653
3130,31,12.175834,0.038366683
3140,31,13.063898,0.03836672
3150,31,13.257138,0.038366754
3160,31,13.804436,0.038366787
3170,31,14.119118,0.038366817
3180,31,14.681279,0.038366847
3190,31,13.720558,0.038366877
3200,31,12.706088,0.038366906
3210,31,13.381929,0.03836694
3220,31,13.466092,0.038366966
3230,31,13.198321,0.038366996
3240,31,13.659839,0.038367026
3250,31,13.829462,0.038367055
3260,31,14.980443,0.038367085
3270,31,13.858243,0.03836711
3280,31,13.1064625,0.038367134
3290,31,13.9390135,0.038367156
3300,31,13.119833,0.03836718
3310,31,12.559829,0.038367204
3320,31,13.3640995,0.038367234
3330,31,14.518324,0.038367264
3340,31,13.575163,0.038367294
3350,31,12.757511,0.03836732
3360,31,13.65842,0.03836735
3370,31,13.078085,0.03836738
3380,31,13.338758,0.0383674
3390,31,14.009851,0.038367428
3400,31,12.706944,0.038367447
3410,31,13.8196125,0.038367473
3420,31,14.051288,0.0383675
3430,31,13.520559,0.03836753
3440,31,12.437989,0.03836754
3450,31,12.321446,0.038367562
3460,31,13.551048,0.03836759
3470,31,13.397873,0.038367618
3480,31,13.494634,0.03836763
3490,31,13.926892,0.03836765
3500,31,13.64568,0.038367677
3510,31,12.319418,0.03836769
3520,31,13.771601,0.03836771
3530,31,13.173945,0.03836774
3540,31,13.775128,0.038367763
3550,31,14.391309,0.038367778
3560,31,12.782845,0.0383678
3570,31,12.930127,0.038367826
3580,31,13.191887,0.03836785
3590,31,13.733269,0.038367875
3600,31,12.965398,0.038367894
3610,31,13.292036,0.03836792
3620,31,13.063843,0.03836795
3630,31,12.986531,0.038367976
3640,31,13.054845,0.038368
3650,31,13.658292,0.038368024
3660,31,13.174192,0.038368046
3670,31,13.720146,0.03836807
3680,31,12.684939,0.03836809
3690,31,13.200702,0.038368106
3700,31,13.090813,0.03836813
3710,31,12.898703,0.038368154
3720,31,13.738553,0.038368165
3730,31,12.530101,0.038368188
3740,31,12.353216,0.038368214
3750,31,13.484311,0.038368225
3760,31,12.808812,0.038368244
3770,31,13.676405,0.038368262
3780,31,13.054156,0.03836828
3790,31,13.07916,0.038368303
3800,31,13.388876,0.038368322
3810,31,13.358793,0.03836834
3820,31,13.206195,0.038368367
3830,31,12.991666,0.03836838
3840,31,13.095854,0.038368396
3850,31,13.466354,0.038368426
3860,31,13.036679,0.038368445
3870,31,12.844296,0.038368467
3880,31,13.302023,0.038368486
3890,31,13.075717,0.038368512
3900,31,12.840489,0.038368538
3910,31,12.455399,0.038368553
3920,31,12.542147,0.038368575
3930,31,12.336597,0.038368605
3940,31,12.658654,0.038368624
3950,31,13.686821,0.038368642
3960,31,13.393473,0.03836867
3970,31,12.64049,0.03836869
3980,31,13.195038,0.038368702
3990,31,13.2000065,0.038368728
4000,31,11.988699,0.038368747
4010,31,13.601135,0.038368758
4020,31,12.695829,0.03836878
4030,31,12.318377,0.03836881
4040,31,12.668636,0.03836882
4050,31,12.477215,0.038368843
4060,31,13.264308,0.03836887
4070,31,12.776584,0.03836889
4080,31,12.97363,0.038368907
4090,31,12.907239,0.038368933
4100,31,13.17836,0.03836896
4110,31,12.92027,0.03836897
4120,31,12.758386,0.038368993
4130,31,13.435053,0.038369
4140,31,12.923746,0.038369026
4150,31,12.859016,0.03836905
4160,31,12.630459,0.03836906
4170,31,12.2649,0.03836908
4180,31,12.99292,0.03836909
4190,31,12.878713,0.038369115
4200,31,12.434484,0.038369138
4210,31,12.96476,0.038369156
4220,31,13.263928,0.03836917
4230,31,13.035097,0.038369186
4240,31,13.162578,0.038369205
4250,31,13.722036,0.038369227
4260,31,12.259184,0.038369246
4270,31,13.247156,0.03836926
4280,31,12.949493,0.03836928
4290,31,13.021011,0.038369294
4300,31,12.382936,0.03836932
4310,31,12.977191,0.038369346
4320,31,12.661011,0.03836937
4330,31,12.502531,0.038369384
4340,31,13.07764,0.03836941
4350,31,13.064824,0.038369436
4360,31,12.521457,0.03836946
4370,31,11.670837,0.038369473
4380,31,12.757457,0.038369495
4390,31,12.1952305,0.038369507
4400,31,12.759104,0.038369533
4410,31,12.834597,0.038369555
4420,31,12.987154,0.03836957
4430,31,13.035487,0.03836959
4440,31,12.544147,0.038369615
4450,31,12.187365,0.038369633
4460,31,12.632772,0.03836965
4470,31,12.340407,0.038369663
4480,31,12.0256195,0.03836968
4490,31,13.252029,0.038369704
4500,31,13.273524,0.038369715
4510,31,12.277648,0.03836973
4520,31,12.136648,0.038369745
4530,31,13.185097,0.038369764
4540,31,13.197881,0.03836977
4550,31,12.653106,0.038369782
4560,31,13.242134,0.0383698
4570,31,12.659463,0.038369823
4580,31,12.092975,0.03836983
4590,31,12.390741,0.038369842
4600,31,11.842741,0.03836986
4610,31,13.027975,0.038369887
4620,31,12.511258,0.0383699
4630,31,13.953138,0.038369916
4640,31,12.552096,0.038369924
4650,31,12.983276,0.03836995
4660,31,12.703058,0.038369976
4670,31,12.600229,0.038369983
4680,31,12.444507,0.038370006
4690,31,12.949213,0.038370024
4700,31,12.63754,0.038370043
4710,31,12.667151,0.038370065
4720,31,12.351019,0.038370073
4730,31,12.518898,0.038370095
4740,31,13.0974,0.03837012
4750,31,12.565357,0.038370132
4760,31,11.898438,0.038370155
4770,31,13.055684,0.038370166
4780,31,12.861056,0.03837019
4790,31,12.180481,0.038370203
4800,31,11.982611,0.03837022
4810,31,12.865008,0.038370244
4820,31,12.503983,0.03837026
4830,31,12.135484,0.038370278
4840,31,11.905334,0.038370304
4850,31,11.6313,0.038370326
4860,31,12.820379,0.03837034
4870,31,12.011583,0.038370363
4880,31,12.1123,0.038370386
4890,31,12.970782,0.0383704
4900,31,12.667793,0.038370423
4910,31,12.373968,0.03837043
4920,31,12.125888,0.038370453
4930,31,12.499791,0.03837048
4940,31,12.912628,0.03837049
4950,31,12.548027,0.038370512
4960,31,11.570691,0.03837054
4970,31,12.321154,0.03837055
4980,31,12.641025,0.038370572
4990,31,11.8152485,0.038370587
5000,32,12.533831,0.038370606
5010,31,12.546511,0.038370628
5020,31,12.143002,0.03837064
5030,31,12.199148,0.03837066
5040,31,12.446203,0.038370688
5050,31,11.9913845,0.0383707
5060,31,12.338165,0.038370717
5070,31,12.239404,0.038370743
5080,31,12.874247,0.03837076
5090,31,13.12084,0.03837078
5100,31,12.088348,0.038370788
5110,31,12.330108,0.038370814
5120,31,11.808329,0.038370837
5130,31,12.616392,0.038370848
5140,31,12.724686,0.03837087
5150,31,11.895136,0.038370878
5160,31,12.025089,0.0383709
5170,31,12.168124,0.038370926
5180,31,12.81177,0.038370937
5190,31,11.757413,0.03837096
5200,31,12.342135,0.03837097
5210,31,11.866266,0.03837099
5220,31,12.188994,0.038371015
5230,31,12.554208,0.038371027
5240,31,12.219099,0.03837105
5250,31,12.562535,0.03837107
5260,31,12.05393,0.038371086
5270,31,12.271298,0.03837111
5280,31,12.389492,0.038371135
5290,31,12.02761,0.038371142
5300,31,12.714014,0.038371164
5310,31,12.291273,0.038371176
5320,31,12.095793,0.038371198
5330,31,12.643385,0.038371205
5340,31,12.549276,0.038371228
5350,31,12.297482,0.038371246
5360,31,12.2941885,0.038371257
5370,31,12.506849,0.038371265
5380,31,12.321849,0.038371287
5390,31,11.987818,0.038371306
5400,31,11.85367,0.038371317
5410,31,12.077411,0.03837133
5420,31,11.988948,0.038371347
5430,31,11.933155,0.038371354
5440,31,12.138741,0.038371377
5450,31,12.715748,0.03837139
5460,31,11.437061,0.038371406
5470,31,12.734297,0.038371425
5480,31,12.968951,0.03837144
5490,31,12.144889,0.03837146
5500,31,12.02898,0.038371474
5510,31,12.141618,0.038371496
5520,31,12.129573,0.03837151
5530,31,12.348225,0.03837153
5540,31,12.089331,0.03837155
5550,31,11.498518,0.03837158
5560,31,12.142162,0.0383716
5570,31,12.820877,0.03837162
5580,31,11.575698,0.03837164
5590,31,12.479215,0.038371664
5600,31,11.287331,0.03837168
5610,31,12.206151,0.038371705
5620,31,12.139778,0.038371727
5630,31,12.142203,0.038371738
5640,31,11.2652645,0.038371764
5650,31,11.821187,0.03837178
5660,31,12.611068,0.038371798
5670,31,12.258082,0.03837182
5680,31,12.511097,0.038371827
5690,31,12.758172,0.038371854
5700,31,12.288911,0.03837186
5710,31,11.769987,0.03837188
5720,31,11.426245,0.0383719
5730,31,11.614138,0.038371913
5740,31,12.916049,0.03837192
5750,31,11.002635,0.038371943
5760,31,12.885582,0.038371958
5770,31,12.090049,0.038371976
5780,31,11.883393,0.038371988
5790,31,11.078161,0.038372006
5800,31,12.56975,0.03837203
5810,31,12.320593,0.03837204
5820,31,11.940531,0.038372062
5830,31,11.856717,0.03837209
5840,31,12.020361,0.0383721
5850,31,11.4075985,0.03837212
5860,31,12.624109,0.038372137
5870,31,12.363764,0.03837215
5880,31,11.314993,0.03837216
5890,31,11.671537,0.03837218
5900,31,11.47648,0.038372193
5910,31,12.145427,0.03837221
5920,31,12.081758,0.03837222
5930,31,12.252135,0.03837224
5940,31,11.970728,0.038372267
5950,31,11.7216625,0.03837228
5960,31,12.101389,0.0383723
5970,31,11.540169,0.03837232
5980,31,11.554247,0.038372338
5990,31,11.620295,0.03837236
6000,31,12.378727,0.038372386
6010,31,12.364054,0.03837239
6020,31,12.069638,0.038372416
6030,31,12.26102,0.038372427
6040,31,11.79257,0.038372446
6050,31,11.59059,0.038372457
6060,31,11.737403,0.03837248
6070,31,12.65342,0.038372487
6080,31,12.46039,0.038372505
6090,31,12.388989,0.038372517
6100,31,11.753234,0.03837254
6110,31,12.626089,0.038372565
6120,31,11.79183,0.038372573
6130,31,12.27223,0.03837259
6140,31,12.078845,0.038372602
6150,31,12.142396,0.038372625
6160,31,12.225067,0.038372636
6170,31,12.01488,0.038372654
6180,31,11.465529,0.038372662
6190,31,12.337761,0.038372684
6200,31,12.157106,0.038372688
6210,31,12.054895,0.038372707
6220,31,12.089082,0.03837272
6230,31,11.7867565,0.038372736
6240,31,11.759886,0.03837275
6250,31,12.628264,0.038372755
6260,31,11.888247,0.038372777
6270,31,11.831438,0.038372785
6280,31,11.161708,0.038372807
6290,31,11.955299,0.038372815
6300,31,11.400031,0.038372837
6310,31,11.961397,0.03837284
6320,31,11.887199,0.038372856
6330,31,12.163799,0.038372874
6340,31,11.229258,0.038372893
6350,31,11.259411,0.0383729
6360,31,12.281343,0.038372923
6370,31,12.253656,0.03837293
6380,31,11.319864,0.038372952
6390,31,11.384794,0.03837296
6400,31,11.953399,0.038372982
6410,31,11.39691,0.03837299
6420,31,11.757093,0.038373012
6430,31,12.485425,0.038373023
6440,31,12.228334,0.038373042
6450,31,11.521174,0.03837305
6460,31,12.552686,0.038373053
6470,31,11.56741,0.038373075
6480,31,12.262119,0.038373083
6490,31,11.315603,0.038373105
6500,31,11.731313,0.038373113
6510,31,11.297721,0.038373135
6520,31,12.729526,0.038373142
6530,31,11.760785,0.03837316
6540,31,11.286074,0.038373172
6550,31,11.550339,0.038373195
6560,31,12.322872,0.03837321
6570,31,11.988215,0.038373224
6580,31,11.312326,0.03837324
6590,31,12.203782,0.038373258
6600,31,11.698457,0.03837328
6610,31,11.502234,0.038373288
6620,31,12.76275,0.03837329
6630,31,11.466123,0.038373314
6640,31,11.996363,0.03837332
6650,31,12.138738,0.03837334
6660,31,12.28088,0.038373347
6670,31,12.107883,0.03837336
6680,31,11.829269,0.038373377
6690,31,11.99806,0.038373392
6700,31,11.975788,0.03837341
6710,31,11.726525,0.038373422
6720,31,11.681532,0.038373437
6730,31,11.992483,0.03837346
6740,31,12.390486,0.038373467
6750,31,12.462267,0.038373478
6760,31,11.189235,0.038373496
6770,31,11.621536,0.0383735
